#         T/K            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8
 3.391500E+02  3.584119E-02  4.067067E-05  1.219130E-07  6.255402E-09  1.508912E-11  5.120507E-11  3.811935E-14  2.461038E-14  1.136737E-14  1.528913E-14  6.657905E-15  2.962667E-14
 3.401500E+02  3.573656E-02  3.996585E-05  1.156422E-07  5.683395E-09  1.330043E-11  4.517805E-11  3.259206E-14  2.112551E-14  9.723536E-15  1.307953E-14  5.709502E-15  2.543100E-14
 3.411500E+02  3.563254E-02  3.927746E-05  1.097295E-07  5.166712E-09  1.173285E-11  3.989106E-11  2.789311E-14  1.815119E-14  8.325415E-15  1.120001E-14  4.900836E-15  2.185008E-14
 3.421500E+02  3.552910E-02  3.860502E-05  1.041525E-07  4.699724E-09  1.035797E-11  3.524962E-11  2.389445E-14  1.561019E-14  7.135122E-15  9.599711E-15  4.210656E-15  1.879092E-14
 3.431500E+02  3.542626E-02  3.794809E-05  9.889047E-08  4.277400E-09  9.151160E-12  3.117175E-11  2.048843E-14  1.343734E-14  6.120786E-15  8.235840E-15  3.621042E-15  1.617502E-14
 3.441500E+02  3.532400E-02  3.730623E-05  9.392391E-08  3.895244E-09  8.091050E-12  2.758627E-11  1.758442E-14  1.157754E-14  5.255567E-15  7.072354E-15  3.116865E-15  1.393606E-14
 3.451500E+02  3.522233E-02  3.667901E-05  8.923471E-08  3.549234E-09  7.159095E-12  2.443131E-11  1.510609E-14  9.984229E-15  4.516844E-15  6.078870E-15  2.685341E-15  1.201794E-14
 3.461500E+02  3.512122E-02  3.606605E-05  8.480591E-08  3.235769E-09  6.339179E-12  2.165310E-11  1.298902E-14  8.617950E-15  3.885530E-15  5.229752E-15  2.315659E-15  1.037317E-14
 3.471500E+02  3.502069E-02  3.546693E-05  8.062170E-08  2.951627E-09  5.617291E-12  1.920480E-11  1.117888E-14  7.445287E-15  3.345504E-15  4.503343E-15  1.998665E-15  8.961509E-15
 3.481500E+02  3.492073E-02  3.488128E-05  7.666730E-08  2.693916E-09  4.981234E-12  1.704565E-11  9.629733E-15  6.437889E-15  2.883139E-15  3.881338E-15  1.726603E-15  7.748815E-15
 3.491500E+02  3.482133E-02  3.430873E-05  7.292890E-08  2.460048E-09  4.420388E-12  1.514009E-11  8.302723E-15  5.571690E-15  2.486903E-15  3.348243E-15  1.492892E-15  6.706113E-15
 3.501500E+02  3.472248E-02  3.374893E-05  6.939357E-08  2.247698E-09  3.925497E-12  1.345711E-11  7.164964E-15  4.826234E-15  2.147031E-15  2.890934E-15  1.291946E-15  5.808775E-15
 3.511500E+02  3.462419E-02  3.320152E-05  6.604925E-08  2.054778E-09  3.488486E-12  1.196964E-11  6.188584E-15  4.184125E-15  1.855241E-15  2.498284E-15  1.119019E-15  5.035853E-15
 3.521500E+02  3.452645E-02  3.266617E-05  6.288461E-08  1.879415E-09  3.102307E-12  1.065402E-11  5.349943E-15  3.630551E-15  1.604508E-15  2.160850E-15  9.700732E-16  4.369515E-15
 3.531500E+02  3.442925E-02  3.214256E-05  5.988910E-08  1.719925E-09  2.760803E-12  9.489576E-12  4.628970E-15  3.152891E-15  1.388864E-15  1.870610E-15  8.416705E-16  3.794565E-15
 3.541500E+02  3.433259E-02  3.163037E-05  5.705279E-08  1.574791E-09  2.458592E-12  8.458204E-12  4.008608E-15  2.740379E-15  1.203235E-15  1.620744E-15  7.308817E-16  3.298041E-15
 3.551500E+02  3.423646E-02  3.112930E-05  5.436642E-08  1.442652E-09  2.190964E-12  7.544060E-12  3.474352E-15  2.383825E-15  1.043304E-15  1.405450E-15  6.352087E-16  2.868879E-15
 3.561500E+02  3.414087E-02  3.063906E-05  5.182128E-08  1.322279E-09  1.953796E-12  6.733257E-12  3.013852E-15  2.075379E-15  9.053953E-16  1.219784E-15  5.525188E-16  2.497628E-15
 3.571500E+02  3.404580E-02  3.015935E-05  4.940925E-08  1.212568E-09  1.743476E-12  6.013619E-12  2.616584E-15  1.808326E-15  7.863741E-16  1.059531E-15  4.809899E-16  2.176203E-15
 3.581500E+02  3.395126E-02  2.968991E-05  4.712267E-08  1.112521E-09  1.556837E-12  5.374460E-12  2.273574E-15  1.576917E-15  6.835664E-16  9.210954E-16  4.190636E-16  1.897686E-15
 3.591500E+02  3.385723E-02  2.923045E-05  4.495439E-08  1.021240E-09  1.391100E-12  4.806396E-12  1.977161E-15  1.376231E-15  5.946889E-16  8.014066E-16  3.654065E-16  1.656149E-15
 3.601500E+02  3.376372E-02  2.878073E-05  4.289769E-08  9.379147E-10  1.243823E-12  4.301181E-12  1.720801E-15  1.202046E-15  5.177898E-16  6.978394E-16  3.188760E-16  1.446511E-15
 3.611500E+02  3.367072E-02  2.834049E-05  4.094626E-08  8.618123E-10  1.112865E-12  3.851562E-12  1.498898E-15  1.050740E-15  4.511997E-16  6.081482E-16  2.784927E-16  1.264412E-15
 3.621500E+02  3.357822E-02  2.790948E-05  3.909419E-08  7.922719E-10  9.963379E-13  3.451157E-12  1.306661E-15  9.192014E-16  3.934892E-16  5.304101E-16  2.434160E-16  1.106106E-15
 3.631500E+02  3.348623E-02  2.748747E-05  3.733591E-08  7.286957E-10  8.925848E-13  3.094347E-12  1.139989E-15  8.047572E-16  3.434334E-16  4.629773E-16  2.129243E-16  9.683752E-16
 3.641500E+02  3.339473E-02  2.707423E-05  3.566621E-08  6.705432E-10  8.001445E-13  2.776179E-12  9.953655E-16  7.051068E-16  2.999821E-16  4.044364E-16  1.863971E-16  8.484505E-16
 3.651500E+02  3.330373E-02  2.666953E-05  3.408018E-08  6.173257E-10  7.177302E-13  2.492286E-12  8.697721E-16  6.182697E-16  2.622335E-16  3.535743E-16  1.633007E-16  7.439478E-16
 3.661500E+02  3.321322E-02  2.627316E-05  3.257321E-08  5.686004E-10  6.442072E-13  2.238813E-12  7.606182E-16  5.425396E-16  2.294132E-16  3.093486E-16  1.431757E-16  6.528130E-16
 3.671500E+02  3.312319E-02  2.588491E-05  3.114096E-08  5.239666E-10  5.785746E-13  2.012358E-12  6.656768E-16  4.764447E-16  2.008552E-16  2.708632E-16  1.256261E-16  5.732747E-16
 3.681500E+02  3.303365E-02  2.550457E-05  2.977936E-08  4.830610E-10  5.199485E-13  1.809913E-12  5.830327E-16  4.187150E-16  1.759866E-16  2.373467E-16  1.103107E-16  5.038041E-16
 3.691500E+02  3.294458E-02  2.513195E-05  2.848458E-08  4.455542E-10  4.675481E-13  1.628821E-12  5.110372E-16  3.682534E-16  1.543140E-16  2.081351E-16  9.693474E-17  4.430809E-16
 3.701500E+02  3.285599E-02  2.476684E-05  2.725300E-08  4.111477E-10  4.206832E-13  1.466730E-12  4.482698E-16  3.241117E-16  1.354120E-16  1.826559E-16  8.524380E-17  3.899635E-16
 3.711500E+02  3.276787E-02  2.440908E-05  2.608123E-08  3.795703E-10  3.787431E-13  1.321556E-12  3.935058E-16  2.854695E-16  1.189140E-16  1.604152E-16  7.501793E-17  3.434647E-16
 3.721500E+02  3.268022E-02  2.405847E-05  2.496606E-08  3.505758E-10  3.411873E-13  1.191455E-12  3.456885E-16  2.516165E-16  1.045033E-16  1.409868E-16  6.606687E-17  3.027295E-16
 3.731500E+02  3.259304E-02  2.371483E-05  2.390449E-08  3.239408E-10  3.075371E-13  1.074792E-12  3.039053E-16  2.219375E-16  9.190637E-17  1.240022E-16  5.822589E-17  2.670172E-16
 3.741500E+02  3.250631E-02  2.337801E-05  2.289368E-08  2.994620E-10  2.773682E-13  9.701167E-13  2.673674E-16  1.958987E-16  8.088670E-17  1.091431E-16  5.135229E-17  2.356858E-16
 3.751500E+02  3.242004E-02  2.304783E-05  2.193094E-08  2.769545E-10  2.503042E-13  8.761410E-13  2.353927E-16  1.730371E-16  7.123970E-17  9.613382E-17  4.532233E-17  2.081778E-16
 3.761500E+02  3.233423E-02  2.272412E-05  2.101377E-08  2.562504E-10  2.260113E-13  7.917218E-13  2.073908E-16  1.529507E-16  6.278820E-17  8.473579E-17  4.002865E-17  1.840094E-16
 3.771500E+02  3.224886E-02  2.240675E-05  2.013978E-08  2.371966E-10  2.041928E-13  7.158430E-13  1.828501E-16  1.352901E-16  5.537865E-17  7.474219E-17  3.537802E-17  1.627600E-16
 3.781500E+02  3.216394E-02  2.209554E-05  1.930673E-08  2.196537E-10  1.845854E-13  6.476012E-13  1.613273E-16  1.197512E-16  4.887792E-17  6.597365E-17  3.128942E-17  1.440638E-16
 3.791500E+02  3.207947E-02  2.179036E-05  1.851250E-08  2.034948E-10  1.669546E-13  5.861923E-13  1.424377E-16  1.060696E-16  4.317046E-17  5.827449E-17  2.769239E-17  1.276026E-16
 3.801500E+02  3.199543E-02  2.149106E-05  1.775510E-08  1.886043E-10  1.510923E-13  5.309008E-13  1.258473E-16  9.401500E-17  3.815590E-17  5.150950E-17  2.452562E-17  1.130991E-16
 3.811500E+02  3.191183E-02  2.119750E-05  1.703263E-08  1.748766E-10  1.368128E-13  4.810890E-13  1.112661E-16  8.338652E-17  3.374703E-17  4.556116E-17  2.173571E-17  1.003116E-16
 3.821500E+02  3.182866E-02  2.090954E-05  1.634333E-08  1.622155E-10  1.239509E-13  4.361888E-13  9.844162E-17  7.400903E-17  2.986798E-17  4.032723E-17  1.927613E-17  8.902942E-17
 3.831500E+02  3.174592E-02  2.062705E-05  1.568550E-08  1.505331E-10  1.123594E-13  3.956933E-13  8.715448E-17  6.572969E-17  2.645271E-17  3.571872E-17  1.710627E-17  7.906858E-17
 3.841500E+02  3.166361E-02  2.034991E-05  1.505757E-08  1.397492E-10  1.019071E-13  3.591502E-13  7.721351E-17  5.841496E-17  2.344370E-17  3.165810E-17  1.519071E-17  7.026839E-17
 3.851500E+02  3.158172E-02  2.007799E-05  1.445802E-08  1.297905E-10  9.247672E-14  3.261558E-13  6.845216E-17  5.194815E-17  2.079082E-17  2.807780E-17  1.349852E-17  6.248843E-17
 3.861500E+02  3.150025E-02  1.981117E-05  1.388545E-08  1.205900E-10  8.396373E-14  2.963491E-13  6.072522E-17  4.622717E-17  1.845034E-17  2.491887E-17  1.200265E-17  5.560585E-17
 3.871500E+02  3.141920E-02  1.954932E-05  1.333850E-08  1.120865E-10  7.627471E-14  2.694076E-13  5.390597E-17  4.116267E-17  1.638409E-17  2.212984E-17  1.067945E-17  4.951313E-17
 3.881500E+02  3.133856E-02  1.929234E-05  1.281591E-08  1.042239E-10  6.932615E-14  2.450430E-13  4.788375E-17  3.667640E-17  1.455870E-17  1.966576E-17  9.508213E-18  4.411611E-17
 3.891500E+02  3.125833E-02  1.904012E-05  1.231648E-08  9.695099E-11  6.304340E-14  2.229970E-13  4.256189E-17  3.269975E-17  1.294505E-17  1.748734E-17  8.470819E-18  3.933225E-17
 3.901500E+02  3.117851E-02  1.879253E-05  1.183907E-08  9.022082E-11  5.735964E-14  2.030385E-13  3.785583E-17  2.917258E-17  1.151763E-17  1.556018E-17  7.551376E-18  3.508916E-17
 3.911500E+02  3.109910E-02  1.854949E-05  1.138262E-08  8.399037E-11  5.221504E-14  1.849603E-13  3.369161E-17  2.604209E-17  1.025413E-17  1.385421E-17  6.735950E-18  3.132331E-17
 3.921500E+02  3.102008E-02  1.831088E-05  1.094609E-08  7.822025E-11  4.755604E-14  1.685769E-13  3.000445E-17  2.326190E-17  9.135003E-18  1.234306E-17  6.012314E-18  2.797891E-17
 3.931500E+02  3.094146E-02  1.807661E-05  1.052852E-08  7.287432E-11  4.333460E-14  1.537216E-13  2.673759E-17  2.079126E-17  8.143113E-18  1.100362E-17  5.369729E-18  2.500692E-17
 3.941500E+02  3.086324E-02  1.784657E-05  1.012901E-08  6.791947E-11  3.950766E-14  1.402451E-13  2.384128E-17  1.859433E-17  7.263438E-18  9.815627E-18  4.798759E-18  2.236424E-17
 3.951500E+02  3.078541E-02  1.762068E-05  9.746693E-09  6.332529E-11  3.603658E-14  1.280131E-13  2.127187E-17  1.663960E-17  6.482788E-18  8.761293E-18  4.291107E-18  2.001291E-17
 3.961500E+02  3.070797E-02  1.739883E-05  9.380739E-09  5.906388E-11  3.288667E-14  1.169052E-13  1.899102E-17  1.489928E-17  5.789582E-18  7.824993E-18  3.839473E-18  1.791953E-17
 3.971500E+02  3.063092E-02  1.718095E-05  9.030376E-09  5.510963E-11  3.002678E-14  1.068130E-13  1.696506E-17  1.334892E-17  5.173643E-18  6.992997E-18  3.437428E-18  1.605467E-17
 3.981500E+02  3.055425E-02  1.696694E-05  8.694868E-09  5.143899E-11  2.742891E-14  9.763913E-14  1.516440E-17  1.196694E-17  4.626020E-18  6.253228E-18  3.079311E-18  1.439237E-17
 3.991500E+02  3.047796E-02  1.675671E-05  8.373516E-09  4.803034E-11  2.506788E-14  8.929586E-14  1.356299E-17  1.073432E-17  4.138837E-18  5.595061E-18  2.760129E-18  1.290975E-17
