#         T/K            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8
 3.221500E+02  9.226392E-03  4.380562E-03  5.978311E-03  1.426612E-01  1.192990E-01  3.979950E-01  1.006522E-01  6.052324E-02  2.976963E-02  3.996484E-02  1.666510E-02  7.288458E-02
 3.231500E+02  9.500622E-03  4.558499E-03  6.144395E-03  1.435800E-01  1.192460E-01  3.982375E-01  9.989802E-02  6.033362E-02  2.956160E-02  3.969023E-02  1.659484E-02  7.265469E-02
 3.241500E+02  9.781343E-03  4.742511E-03  6.313962E-03  1.444953E-01  1.191892E-01  3.984646E-01  9.914955E-02  6.014304E-02  2.935493E-02  3.941736E-02  1.652455E-02  7.242367E-02
 3.251500E+02  1.006880E-02  4.932811E-03  6.487098E-03  1.454076E-01  1.191285E-01  3.986763E-01  9.840641E-02  5.995133E-02  2.914953E-02  3.914609E-02  1.645419E-02  7.219130E-02
 3.261500E+02  1.036312E-02  5.129574E-03  6.663853E-03  1.463168E-01  1.190640E-01  3.988726E-01  9.766848E-02  5.975847E-02  2.894537E-02  3.887638E-02  1.638375E-02  7.195756E-02
 3.271500E+02  1.066443E-02  5.332980E-03  6.844276E-03  1.472229E-01  1.189956E-01  3.990534E-01  9.693565E-02  5.956444E-02  2.874242E-02  3.860820E-02  1.631321E-02  7.172244E-02
 3.281500E+02  1.097287E-02  5.543213E-03  7.028417E-03  1.481258E-01  1.189234E-01  3.992186E-01  9.620783E-02  5.936922E-02  2.854065E-02  3.834151E-02  1.624259E-02  7.148591E-02
 3.291500E+02  1.128858E-02  5.760460E-03  7.216325E-03  1.490254E-01  1.188472E-01  3.993682E-01  9.548491E-02  5.917281E-02  2.834003E-02  3.807629E-02  1.617187E-02  7.124796E-02
 3.301500E+02  1.161170E-02  5.984913E-03  7.408051E-03  1.499216E-01  1.187671E-01  3.995020E-01  9.476678E-02  5.897518E-02  2.814055E-02  3.781249E-02  1.610104E-02  7.100856E-02
 3.311500E+02  1.194237E-02  6.216768E-03  7.603645E-03  1.508144E-01  1.186831E-01  3.996200E-01  9.405334E-02  5.877631E-02  2.794218E-02  3.755009E-02  1.603010E-02  7.076769E-02
 3.321500E+02  1.228073E-02  6.456225E-03  7.803158E-03  1.517036E-01  1.185952E-01  3.997220E-01  9.334450E-02  5.857620E-02  2.774488E-02  3.728905E-02  1.595905E-02  7.052533E-02
 3.331500E+02  1.262694E-02  6.703487E-03  8.006640E-03  1.525893E-01  1.185033E-01  3.998081E-01  9.264014E-02  5.837481E-02  2.754864E-02  3.702935E-02  1.588787E-02  7.028146E-02
 3.341500E+02  1.298114E-02  6.958764E-03  8.214142E-03  1.534713E-01  1.184074E-01  3.998781E-01  9.194017E-02  5.817212E-02  2.735343E-02  3.677094E-02  1.581657E-02  7.003605E-02
 3.351500E+02  1.334348E-02  7.222270E-03  8.425715E-03  1.543495E-01  1.183074E-01  3.999318E-01  9.124450E-02  5.796813E-02  2.715923E-02  3.651379E-02  1.574512E-02  6.978908E-02
 3.361500E+02  1.371413E-02  7.494221E-03  8.641411E-03  1.552239E-01  1.182034E-01  3.999692E-01  9.055301E-02  5.776280E-02  2.696600E-02  3.625788E-02  1.567353E-02  6.954053E-02
 3.371500E+02  1.409325E-02  7.774840E-03  8.861280E-03  1.560943E-01  1.180953E-01  3.999902E-01  8.986563E-02  5.755612E-02  2.677373E-02  3.600316E-02  1.560180E-02  6.929036E-02
 3.381500E+02  9.976908E-01  2.297686E-03  1.070502E-05  7.648196E-07  2.377449E-09  8.060192E-09  7.431784E-12  4.778961E-12  2.215178E-12  2.979107E-12  1.294147E-12  5.753159E-12
 3.391500E+02  9.977248E-01  2.264330E-03  1.018122E-05  6.965360E-07  2.100207E-09  7.127075E-09  6.366856E-12  4.110530E-12  1.898627E-12  2.553656E-12  1.112032E-12  4.948373E-12
 3.401500E+02  9.977580E-01  2.231678E-03  9.686124E-06  6.347172E-07  1.856727E-09  6.306812E-09  5.459784E-12  3.538921E-12  1.628875E-12  2.191067E-12  9.564491E-13  4.260172E-12
 3.411500E+02  9.977905E-01  2.199713E-03  9.218010E-06  5.787179E-07  1.642730E-09  5.585194E-09  4.686415E-12  3.049642E-12  1.398781E-12  1.881751E-12  8.234060E-13  3.671107E-12
 3.421500E+02  9.978223E-01  2.168417E-03  8.775259E-06  5.279603E-07  1.454500E-09  4.949866E-09  4.026403E-12  2.630440E-12  1.202324E-12  1.617627E-12  7.095287E-13  3.166419E-12
 3.431500E+02  9.978534E-01  2.137772E-03  8.356359E-06  4.819270E-07  1.288806E-09  4.390082E-09  3.462592E-12  2.270941E-12  1.034427E-12  1.391876E-12  6.119645E-13  2.733617E-12
 3.441500E+02  9.978838E-01  2.107761E-03  7.959898E-06  4.401541E-07  1.142839E-09  3.896485E-09  2.980502E-12  1.962356E-12  8.908014E-13  1.198741E-12  5.282984E-13  2.362117E-12
 3.451500E+02  9.979136E-01  2.078369E-03  7.584553E-06  4.022254E-07  1.014152E-09  3.460921E-09  2.567900E-12  1.697230E-12  7.678233E-13  1.033354E-12  4.564841E-13  2.042943E-12
 3.461500E+02  9.979428E-01  2.049578E-03  7.229086E-06  3.677677E-07  9.006148E-10  3.076281E-09  2.214439E-12  1.469235E-12  6.624262E-13  8.915964E-13  3.947861E-13  1.768475E-12
 3.471500E+02  9.979714E-01  2.021375E-03  6.892338E-06  3.364455E-07  8.003690E-10  2.736360E-09  1.911362E-12  1.272993E-12  5.720132E-13  7.699804E-13  3.417312E-13  1.532236E-12
 3.481500E+02  9.979994E-01  1.993744E-03  6.573223E-06  3.079577E-07  7.117932E-10  2.435738E-09  1.651248E-12  1.103930E-12  4.943832E-13  6.655485E-13  2.960674E-13  1.328720E-12
 3.491500E+02  9.980268E-01  1.966670E-03  6.270725E-06  2.820334E-07  6.334717E-10  2.169678E-09  1.427804E-12  9.581533E-13  4.276682E-13  5.757913E-13  2.567298E-13  1.153238E-12
 3.501500E+02  9.980536E-01  1.940140E-03  5.983890E-06  2.584288E-07  5.641670E-10  1.934038E-09  1.235687E-12  8.323437E-13  3.702820E-13  4.985773E-13  2.228121E-13  1.001795E-12
 3.511500E+02  9.980799E-01  1.914140E-03  5.711824E-06  2.369248E-07  5.027969E-10  1.725189E-09  1.070356E-12  7.236717E-13  3.208760E-13  4.320945E-13  1.935417E-13  8.709836E-13
