#         T/K          A/kJ          G/kJ
  3.071500000000E+02   9.795847300006E-01   9.837528488803E-01
  3.081500000000E+02   8.279696729530E-01   8.321398810152E-01
  3.091500000000E+02   6.759816096832E-01   6.801538964792E-01
  3.101500000000E+02   5.236250978003E-01   5.277994535291E-01
  3.111500000000E+02   3.709045291641E-01   3.750809446711E-01
  3.121500000000E+02   2.178241333183E-01   2.220026000934E-01
  3.131500000000E+02   6.438798142883E-02   6.856849160378E-02
  3.141500000000E+02  -8.940001011856E-02  -8.521746377542E-02
  3.151500000000E+02  -2.435360751646E-01  -2.393514992506E-01
  3.161500000000E+02  -3.980165945778E-01  -3.938299950586E-01
  3.171500000000E+02  -5.528380920566E-01  -5.486494742723E-01
  3.181500000000E+02  -7.079972299754E-01  -7.038065986442E-01
  3.191500000000E+02  -8.634908080291E-01  -8.592981672514E-01
  3.201500000000E+02  -1.019315754907E+00  -1.015121108175E+00
  3.211500000000E+02  -1.175469129551E+00  -1.171272479737E+00
  3.221500000000E+02  -1.331948115107E+00  -1.327749464480E+00
  3.231500000000E+02  -1.488750014185E+00  -1.484549364415E+00
  3.241500000000E+02  -1.645872255691E+00  -1.641669607848E+00
  3.251500000000E+02  -1.803312371225E+00  -1.799107725784E+00
  3.261500000000E+02  -1.961068012464E+00  -1.956861369310E+00
  3.271500000000E+02  -2.119136937703E+00  -2.114928296130E+00
  3.281500000000E+02  -2.277517011013E+00  -2.273306369732E+00
  3.291500000000E+02  -2.436206200004E+00  -2.431993557142E+00
  3.301500000000E+02  -2.595202571552E+00  -2.590987924657E+00
  3.311500000000E+02  -2.754504290280E+00  -2.750287636322E+00
  3.321500000000E+02  -2.914109616596E+00  -2.909890951970E+00
  3.331500000000E+02  -3.074016901378E+00  -3.069796221906E+00
  3.341500000000E+02  -3.234224586269E+00  -3.230001887205E+00
  3.351500000000E+02  -3.394731200111E+00  -3.390506476139E+00
  3.361500000000E+02  -3.555535356182E+00  -3.551308601420E+00
  3.371500000000E+02  -3.716635750516E+00  -3.712406958517E+00
  3.381500000000E+02  -3.878031159255E+00  -3.873800323012E+00
  3.391500000000E+02  -4.039720435339E+00  -4.035487547281E+00
  3.401500000000E+02  -4.201702512718E+00  -4.197467564718E+00
  3.411500000000E+02  -4.363976391029E+00  -4.359739374403E+00
  3.421500000000E+02  -4.526541146935E+00  -4.522302052439E+00
  3.431500000000E+02  -4.689395925314E+00  -4.685154743154E+00
  3.441500000000E+02  -4.852539938634E+00  -4.848296658461E+00
  3.451500000000E+02  -5.015972464978E+00  -5.011727075892E+00
  3.461500000000E+02  -5.179692846081E+00  -5.175445336631E+00
  3.471500000000E+02  -8.166882365832E+00  -5.395393795016E+00
  3.481500000000E+02  -8.422421552640E+00  -5.641677571274E+00
  3.491500000000E+02  -8.678106517413E+00  -5.888119945582E+00
  3.501500000000E+02  -8.933936834286E+00  -6.134720300500E+00
  3.511500000000E+02  -9.189912083708E+00  -6.381478027536E+00
  3.521500000000E+02  -9.446031852263E+00  -6.628392526965E+00
  3.531500000000E+02  -9.702295732509E+00  -6.875463207636E+00
  3.541500000000E+02  -9.958703322815E+00  -7.122689486797E+00
  3.551500000000E+02  -1.021525422720E+01  -7.370070789919E+00
  3.561500000000E+02  -1.047194805519E+01  -7.617606550522E+00
  3.571500000000E+02  -1.072878442164E+01  -7.865296210009E+00
  3.581500000000E+02  -1.098576294666E+01  -8.113139217502E+00
  3.591500000000E+02  -1.124288325563E+01  -8.361135029931E+00
  3.601500000000E+02  -1.150014497813E+01  -8.609283110865E+00
  3.611500000000E+02  -1.175754774931E+01  -8.857582931898E+00
  3.621500000000E+02  -1.201509120873E+01  -9.106033971459E+00
  3.631500000000E+02  -1.227277500052E+01  -9.354635714934E+00
  3.641500000000E+02  -1.253059877324E+01  -9.603387654519E+00
  3.651500000000E+02  -1.278856217975E+01  -9.852289289079E+00
  3.661500000000E+02  -1.304666487713E+01  -1.010134012402E+01
  3.671500000000E+02  -1.330490652658E+01  -1.035053967115E+01
  3.681500000000E+02  -1.356328679326E+01  -1.059988744854E+01
  3.691500000000E+02  -1.382180534624E+01  -1.084938298041E+01
  3.701500000000E+02  -1.408046185839E+01  -1.109902579703E+01
  3.711500000000E+02  -1.433925600626E+01  -1.134881543452E+01
  3.721500000000E+02  -1.459818747002E+01  -1.159875143482E+01
  3.731500000000E+02  -1.485725593334E+01  -1.184883334552E+01
  3.741500000000E+02  -1.511646108335E+01  -1.209906071977E+01
  3.751500000000E+02  -1.537580261049E+01  -1.234943311616E+01
  3.761500000000E+02  -1.563528020848E+01  -1.259995009860E+01
  3.771500000000E+02  -1.589489357423E+01  -1.285061123625E+01
  3.781500000000E+02  -1.615464240773E+01  -1.310141610338E+01
  3.791500000000E+02  -1.641452641205E+01  -1.335236427929E+01
  3.801500000000E+02  -1.667454529318E+01  -1.360345534821E+01
  3.811500000000E+02  -1.693469876001E+01  -1.385468889919E+01
  3.821500000000E+02  -1.719498652427E+01  -1.410606452602E+01
  3.831500000000E+02  -1.745540830044E+01  -1.435758182712E+01
  3.841500000000E+02  -1.771596380568E+01  -1.460924040549E+01
  3.851500000000E+02  -1.797665275982E+01  -1.486103986856E+01
  3.861500000000E+02  -1.823747488522E+01  -1.511297982818E+01
  3.871500000000E+02  -1.849842990679E+01  -1.536505990045E+01
  3.881500000000E+02  -1.875951755188E+01  -1.561727970573E+01
  3.891500000000E+02  -1.902073755026E+01  -1.586963886846E+01
  3.901500000000E+02  -1.928208963403E+01  -1.612213701718E+01
  3.911500000000E+02  -1.954357353763E+01  -1.637477378439E+01
  3.921500000000E+02  -1.980518899771E+01  -1.662754880647E+01
  3.931500000000E+02  -2.006693575316E+01  -1.688046172368E+01
  3.941500000000E+02  -2.032881354499E+01  -1.713351217999E+01
  3.951500000000E+02  -2.059082211636E+01  -1.738669982308E+01
  3.961500000000E+02  -2.085296121247E+01  -1.764002430424E+01
  3.971500000000E+02  -2.111523058056E+01  -1.789348527833E+01
  3.981500000000E+02  -2.137762996985E+01  -1.814708240367E+01
  3.991500000000E+02  -2.164015913145E+01  -1.840081534198E+01
