#         T/K            w1            w2          w3-1          w3-2          w4-1          w4-2          w5-2          w5-6          w5-7          w6-1          w6-2          w6-4          w6-5          w6-7          w6-8         w6-10
 3.121500E+02  5.036848E-02  1.706576E-02  2.705267E-02  1.413403E-03  3.028048E-01  4.551692E-01  2.444191E-01  3.119097E-03  5.056756E-03  1.460705E+00  1.939184E+00  2.010282E+00  8.614035E-03  1.107634E-01  1.110152E-01  2.824328E+00
 3.131500E+02  5.198497E-02  1.784991E-02  2.799643E-02  1.506683E-03  3.062177E-01  4.629576E-01  2.464665E-01  3.232805E-03  5.236586E-03  1.448029E+00  1.921398E+00  2.007068E+00  8.693869E-03  1.113933E-01  1.116439E-01  2.845152E+00
 3.141500E+02  5.364231E-02  1.866454E-02  2.896603E-02  1.605440E-03  3.096325E-01  4.708077E-01  2.485036E-01  3.349729E-03  5.421370E-03  1.435437E+00  1.903753E+00  2.003738E+00  8.773326E-03  1.120157E-01  1.122650E-01  2.865805E+00
 3.151500E+02  5.534124E-02  1.951059E-02  2.996195E-02  1.709952E-03  3.130486E-01  4.787191E-01  2.505304E-01  3.469929E-03  5.611197E-03  1.422930E+00  1.886248E+00  2.000291E+00  8.852395E-03  1.126305E-01  1.128786E-01  2.886286E+00
 3.161500E+02  5.708249E-02  2.038905E-02  3.098469E-02  1.820511E-03  3.164659E-01  4.866911E-01  2.525464E-01  3.593466E-03  5.806159E-03  1.410509E+00  1.868884E+00  1.996731E+00  8.931065E-03  1.132378E-01  1.134845E-01  2.906593E+00
 3.171500E+02  5.886682E-02  2.130092E-02  3.203474E-02  1.937422E-03  3.198838E-01  4.947231E-01  2.545516E-01  3.720399E-03  6.006345E-03  1.398174E+00  1.851659E+00  1.993060E+00  9.009324E-03  1.138375E-01  1.140829E-01  2.926724E+00
 3.181500E+02  6.069496E-02  2.224720E-02  3.311260E-02  2.061002E-03  3.233021E-01  5.028147E-01  2.565457E-01  3.850790E-03  6.211846E-03  1.385924E+00  1.834574E+00  1.989279E+00  9.087163E-03  1.144296E-01  1.146736E-01  2.946675E+00
 3.191500E+02  6.256768E-02  2.322895E-02  3.421877E-02  2.191579E-03  3.267204E-01  5.109651E-01  2.585286E-01  3.984700E-03  6.422754E-03  1.373760E+00  1.817628E+00  1.985392E+00  9.164570E-03  1.150139E-01  1.152565E-01  2.966447E+00
 3.201500E+02  6.448574E-02  2.424722E-02  3.535375E-02  2.329498E-03  3.301384E-01  5.191737E-01  2.604999E-01  4.122190E-03  6.639160E-03  1.361682E+00  1.800820E+00  1.981400E+00  9.241535E-03  1.155906E-01  1.158318E-01  2.986035E+00
 3.211500E+02  6.644991E-02  2.530312E-02  3.651806E-02  2.475118E-03  3.335556E-01  5.274400E-01  2.624596E-01  4.263321E-03  6.861156E-03  1.349690E+00  1.784151E+00  1.977304E+00  9.318047E-03  1.161595E-01  1.163992E-01  3.005439E+00
 3.221500E+02  6.846097E-02  2.639774E-02  3.771221E-02  2.628809E-03  3.369718E-01  5.357633E-01  2.644074E-01  4.408155E-03  7.088833E-03  1.337784E+00  1.767619E+00  1.973108E+00  9.394098E-03  1.167207E-01  1.169589E-01  3.024657E+00
 3.231500E+02  7.051970E-02  2.753223E-02  3.893671E-02  2.790961E-03  3.403865E-01  5.441429E-01  2.663432E-01  4.556754E-03  7.322285E-03  1.325964E+00  1.751224E+00  1.968813E+00  9.469677E-03  1.172740E-01  1.175108E-01  3.043686E+00
 3.241500E+02  7.262691E-02  2.870774E-02  4.019209E-02  2.961975E-03  3.437995E-01  5.525783E-01  2.682668E-01  4.709180E-03  7.561603E-03  1.314231E+00  1.734966E+00  1.964422E+00  9.544774E-03  1.178196E-01  1.180548E-01  3.062525E+00
 3.251500E+02  7.478338E-02  2.992547E-02  4.147886E-02  3.142272E-03  3.472105E-01  5.610688E-01  2.701779E-01  4.865495E-03  7.806880E-03  1.302583E+00  1.718844E+00  1.959935E+00  9.619380E-03  1.183573E-01  1.185910E-01  3.081173E+00
 3.261500E+02  7.698993E-02  3.118661E-02  4.279756E-02  3.332286E-03  3.506190E-01  5.696137E-01  2.720765E-01  5.025761E-03  8.058209E-03  1.291021E+00  1.702858E+00  1.955356E+00  9.693485E-03  1.188871E-01  1.191193E-01  3.099626E+00
 3.271500E+02  7.924737E-02  3.249240E-02  4.414871E-02  3.532470E-03  3.540248E-01  5.782124E-01  2.739623E-01  5.190040E-03  8.315683E-03  1.279546E+00  1.687006E+00  1.950686E+00  9.767081E-03  1.194090E-01  1.196397E-01  3.117885E+00
 3.281500E+02  8.155652E-02  3.384411E-02  4.553285E-02  3.743294E-03  3.574275E-01  5.868642E-01  2.758352E-01  5.358395E-03  8.579395E-03  1.268155E+00  1.671289E+00  1.945927E+00  9.840158E-03  1.199231E-01  1.201522E-01  3.135948E+00
 3.291500E+02  8.391822E-02  3.524301E-02  4.695051E-02  3.965246E-03  3.608269E-01  5.955684E-01  2.776950E-01  5.530888E-03  8.849437E-03  1.256851E+00  1.655705E+00  1.941081E+00  9.912707E-03  1.204292E-01  1.206567E-01  3.153812E+00
 3.301500E+02  8.633329E-02  3.669042E-02  4.840223E-02  4.198833E-03  3.642225E-01  6.043244E-01  2.795415E-01  5.707581E-03  9.125904E-03  1.245632E+00  1.640254E+00  1.936149E+00  9.984721E-03  1.209274E-01  1.211533E-01  3.171476E+00
 3.311500E+02  8.880259E-02  3.818768E-02  4.988856E-02  4.444581E-03  3.676141E-01  6.131314E-01  2.813747E-01  5.888537E-03  9.408886E-03  1.234498E+00  1.624935E+00  1.931135E+00  1.005619E-02  1.214177E-01  1.216419E-01  3.188939E+00
 3.321500E+02  9.132696E-02  3.973614E-02  5.141002E-02  4.703035E-03  3.710014E-01  6.219888E-01  2.831944E-01  6.073818E-03  9.698479E-03  1.223449E+00  1.609748E+00  1.926038E+00  1.012710E-02  1.218999E-01  1.221225E-01  3.206200E+00
 3.331500E+02  9.390727E-02  4.133720E-02  5.296719E-02  4.974761E-03  3.743841E-01  6.308958E-01  2.850003E-01  6.263486E-03  9.994774E-03  1.212485E+00  1.594691E+00  1.920862E+00  1.019746E-02  1.223742E-01  1.225952E-01  3.223257E+00
 3.341500E+02  9.654438E-02  4.299227E-02  5.456059E-02  5.260345E-03  3.777618E-01  6.398518E-01  2.867924E-01  6.457603E-03  1.029786E-02  1.201606E+00  1.579765E+00  1.915607E+00  1.026724E-02  1.228406E-01  1.230598E-01  3.240108E+00
 3.351500E+02  9.923917E-02  4.470280E-02  5.619079E-02  5.560397E-03  3.811342E-01  6.488561E-01  2.885705E-01  6.656231E-03  1.060784E-02  1.190810E+00  1.564967E+00  1.910276E+00  1.033645E-02  1.232989E-01  1.235164E-01  3.256754E+00
 3.361500E+02  1.019925E-01  4.647026E-02  5.785833E-02  5.875544E-03  3.845011E-01  6.579079E-01  2.903345E-01  6.859433E-03  1.092480E-02  1.180099E+00  1.550298E+00  1.904871E+00  1.040507E-02  1.237492E-01  1.239650E-01  3.273191E+00
 3.371500E+02  1.048053E-01  4.829615E-02  5.956379E-02  6.206441E-03  3.878622E-01  6.670065E-01  2.920842E-01  7.067270E-03  1.124883E-02  1.169472E+00  1.535756E+00  1.899392E+00  1.047310E-02  1.241914E-01  1.244056E-01  3.289419E+00
 3.381500E+02  1.076785E-01  5.018199E-02  6.130771E-02  6.553764E-03  3.912171E-01  6.761512E-01  2.938195E-01  7.279804E-03  1.158002E-02  1.158927E+00  1.521342E+00  1.893842E+00  1.054053E-02  1.246257E-01  1.248381E-01  3.305438E+00
 3.391500E+02  1.106129E-01  5.212935E-02  6.309066E-02  6.918211E-03  3.945657E-01  6.853412E-01  2.955403E-01  7.497096E-03  1.191847E-02  1.148466E+00  1.507053E+00  1.888222E+00  1.060735E-02  1.250519E-01  1.252626E-01  3.321245E+00
 3.401500E+02  1.136094E-01  5.413980E-02  6.491320E-02  7.300507E-03  3.979075E-01  6.945758E-01  2.972465E-01  7.719207E-03  1.226427E-02  1.138088E+00  1.492889E+00  1.882534E+00  1.067355E-02  1.254701E-01  1.256790E-01  3.336840E+00
 3.411500E+02  1.166691E-01  5.621496E-02  6.677591E-02  7.701402E-03  4.012423E-01  7.038543E-01  2.989378E-01  7.946198E-03  1.261750E-02  1.127792E+00  1.478850E+00  1.876780E+00  1.073913E-02  1.258802E-01  1.260874E-01  3.352221E+00
 3.421500E+02  1.197928E-01  5.835648E-02  6.867934E-02  8.121670E-03  4.045699E-01  7.131760E-01  3.006143E-01  8.178130E-03  1.297826E-02  1.117578E+00  1.464933E+00  1.870960E+00  1.080409E-02  1.262823E-01  1.264877E-01  3.367387E+00
 3.431500E+02  1.229814E-01  6.056602E-02  7.062406E-02  8.562114E-03  4.078899E-01  7.225399E-01  3.022758E-01  8.415063E-03  1.334664E-02  1.107445E+00  1.451140E+00  1.865076E+00  1.086840E-02  1.266763E-01  1.268799E-01  3.382338E+00
 3.441500E+02  1.262360E-01  6.284528E-02  7.261066E-02  9.023563E-03  4.112021E-01  7.319455E-01  3.039221E-01  8.657057E-03  1.372272E-02  1.097393E+00  1.437468E+00  1.859130E+00  1.093207E-02  1.270623E-01  1.272641E-01  3.397073E+00
 3.451500E+02  1.295574E-01  6.519601E-02  7.463970E-02  9.506873E-03  4.145062E-01  7.413919E-01  3.055531E-01  8.904172E-03  1.410660E-02  1.087422E+00  1.423916E+00  1.853123E+00  1.099509E-02  1.274402E-01  1.276402E-01  3.411590E+00
 3.461500E+02  1.329467E-01  6.761996E-02  7.671176E-02  1.001293E-02  4.178019E-01  7.508784E-01  3.071688E-01  9.156467E-03  1.449837E-02  1.077531E+00  1.410484E+00  1.847057E+00  1.105745E-02  1.278100E-01  1.280082E-01  3.425888E+00
 3.471500E+02  1.364048E-01  7.011893E-02  7.882742E-02  1.054265E-02  4.210890E-01  7.604042E-01  3.087689E-01  9.414000E-03  1.489811E-02  1.067720E+00  1.397171E+00  1.840933E+00  1.111915E-02  1.281718E-01  1.283681E-01  3.439967E+00
 3.481500E+02  1.399327E-01  7.269474E-02  8.098726E-02  1.109697E-02  4.243672E-01  7.699684E-01  3.103535E-01  9.676830E-03  1.530590E-02  1.057989E+00  1.383976E+00  1.834753E+00  1.118018E-02  1.285254E-01  1.287200E-01  3.453825E+00
 3.491500E+02  1.435314E-01  7.534925E-02  8.319185E-02  1.167687E-02  4.276362E-01  7.795704E-01  3.119224E-01  9.945015E-03  1.572184E-02  1.048336E+00  1.370898E+00  1.828516E+00  1.124053E-02  1.288710E-01  1.290637E-01  3.467462E+00
 3.501500E+02  1.472018E-01  7.808434E-02  8.544178E-02  1.228337E-02  4.308958E-01  7.892094E-01  3.134755E-01  1.021861E-02  1.614602E-02  1.038762E+00  1.357936E+00  1.822226E+00  1.130020E-02  1.292086E-01  1.293994E-01  3.480877E+00
 3.511500E+02  1.509451E-01  8.090193E-02  8.773764E-02  1.291748E-02  4.341458E-01  7.988844E-01  3.150126E-01  1.049768E-02  1.657850E-02  1.029265E+00  1.345089E+00  1.815883E+00  1.135918E-02  1.295380E-01  1.297269E-01  3.494069E+00
 3.521500E+02  1.547622E-01  8.380398E-02  9.008000E-02  1.358030E-02  4.373858E-01  8.085948E-01  3.165337E-01  1.078227E-02  1.701939E-02  1.019846E+00  1.332356E+00  1.809489E+00  1.141746E-02  1.298593E-01  1.300464E-01  3.507037E+00
 3.531500E+02  1.586541E-01  8.679246E-02  9.246945E-02  1.427292E-02  4.406156E-01  8.183397E-01  3.180387E-01  1.107244E-02  1.746876E-02  1.010503E+00  1.319736E+00  1.803044E+00  1.147504E-02  1.301726E-01  1.303578E-01  3.519779E+00
 3.541500E+02  1.626220E-01  8.986941E-02  9.490658E-02  1.499649E-02  4.438350E-01  8.281183E-01  3.195274E-01  1.136825E-02  1.792669E-02  1.001237E+00  1.307228E+00  1.796549E+00  1.153191E-02  1.304778E-01  1.306611E-01  3.532297E+00
 3.551500E+02  1.666668E-01  9.303685E-02  9.739198E-02  1.575218E-02  4.470437E-01  8.379297E-01  3.209998E-01  1.166974E-02  1.839326E-02  9.920465E-01  1.294831E+00  1.790007E+00  1.158806E-02  1.307748E-01  1.309563E-01  3.544588E+00
 3.561500E+02  1.707896E-01  9.629689E-02  9.992623E-02  1.654120E-02  4.502415E-01  8.477733E-01  3.224558E-01  1.197698E-02  1.886856E-02  9.829314E-01  1.282544E+00  1.783418E+00  1.164350E-02  1.310638E-01  1.312434E-01  3.556651E+00
 3.571500E+02  1.749915E-01  9.965163E-02  1.025099E-01  1.736480E-02  4.534281E-01  8.576481E-01  3.238952E-01  1.229002E-02  1.935267E-02  9.738909E-01  1.270367E+00  1.776783E+00  1.169821E-02  1.313447E-01  1.315224E-01  3.568486E+00
 3.581500E+02  1.792736E-01  1.031032E-01  1.051437E-01  1.822426E-02  4.566032E-01  8.675532E-01  3.253180E-01  1.260890E-02  1.984565E-02  9.649245E-01  1.258298E+00  1.770103E+00  1.175218E-02  1.316175E-01  1.317933E-01  3.580093E+00
 3.591500E+02  1.836369E-01  1.066539E-01  1.078280E-01  1.912092E-02  4.597667E-01  8.774879E-01  3.267241E-01  1.293368E-02  2.034760E-02  9.560317E-01  1.246336E+00  1.763379E+00  1.180542E-02  1.318822E-01  1.320561E-01  3.591470E+00
 3.601500E+02  1.880826E-01  1.103058E-01  1.105636E-01  2.005613E-02  4.629182E-01  8.874513E-01  3.281134E-01  1.326442E-02  2.085857E-02  9.472119E-01  1.234480E+00  1.756612E+00  1.185791E-02  1.321388E-01  1.323108E-01  3.602616E+00
 3.611500E+02  1.926118E-01  1.140612E-01  1.133510E-01  2.103131E-02  4.660576E-01  8.974426E-01  3.294857E-01  1.360115E-02  2.137865E-02  9.384645E-01  1.222729E+00  1.749804E+00  1.190966E-02  1.323873E-01  1.325573E-01  3.613531E+00
 3.621500E+02  1.972256E-01  1.179224E-01  1.161907E-01  2.204789E-02  4.691846E-01  9.074608E-01  3.308410E-01  1.394392E-02  2.190791E-02  9.297889E-01  1.211082E+00  1.742955E+00  1.196064E-02  1.326276E-01  1.327958E-01  3.624214E+00
 3.631500E+02  2.019251E-01  1.218918E-01  1.190835E-01  2.310736E-02  4.722990E-01  9.175052E-01  3.321792E-01  1.429279E-02  2.244642E-02  9.211846E-01  1.199539E+00  1.736066E+00  1.201087E-02  1.328599E-01  1.330262E-01  3.634664E+00
 3.641500E+02  2.067116E-01  1.259717E-01  1.220298E-01  2.421126E-02  4.754004E-01  9.275748E-01  3.335002E-01  1.464781E-02  2.299424E-02  9.126509E-01  1.188098E+00  1.729138E+00  1.206033E-02  1.330841E-01  1.332484E-01  3.644880E+00
 3.651500E+02  2.115861E-01  1.301644E-01  1.250303E-01  2.536115E-02  4.784888E-01  9.376687E-01  3.348038E-01  1.500901E-02  2.355146E-02  9.041874E-01  1.176758E+00  1.722172E+00  1.210901E-02  1.333001E-01  1.334625E-01  3.654862E+00
 3.661500E+02  2.165498E-01  1.344725E-01  1.280856E-01  2.655866E-02  4.815638E-01  9.477862E-01  3.360901E-01  1.537643E-02  2.411812E-02  8.957933E-01  1.165518E+00  1.715169E+00  1.215692E-02  1.335080E-01  1.336685E-01  3.664609E+00
