#         T/K          A/kJ          G/kJ
  3.101500000000E+02   1.015538254504E+01   1.016003351689E+01
  3.111500000000E+02   9.991758995403E+00   9.996413191612E+00
  3.121500000000E+02   9.827729879236E+00   9.832387286897E+00
  3.131500000000E+02   9.663300178466E+00   9.667960785571E+00
  3.141500000000E+02   9.498474715995E+00   9.503138511456E+00
  3.151500000000E+02   9.333258136369E+00   9.337925110044E+00
  3.161500000000E+02   9.167654919021E+00   9.172325061731E+00
  3.171500000000E+02   6.428672106910E+00   8.924035320612E+00
  3.181500000000E+02   6.169306230128E+00   8.674064818350E+00
  3.191500000000E+02   5.909773937749E+00   8.423910648997E+00
  3.201500000000E+02   5.650075834765E+00   8.173573684407E+00
  3.211500000000E+02   5.390212514466E+00   7.923054781169E+00
  3.221500000000E+02   5.130184558756E+00   7.672354780971E+00
  3.231500000000E+02   4.869992538461E+00   7.421474510955E+00
  3.241500000000E+02   4.609637013641E+00   7.170414784066E+00
  3.251500000000E+02   4.349118533884E+00   6.919176399381E+00
  3.261500000000E+02   4.088437638609E+00   6.667760142439E+00
  3.271500000000E+02   3.827594857345E+00   6.416166785553E+00
  3.281500000000E+02   3.566590710021E+00   6.164397088121E+00
  3.291500000000E+02   3.305425707240E+00   5.912451796919E+00
  3.301500000000E+02   3.044100350543E+00   5.660331646399E+00
  3.311500000000E+02   2.782615132678E+00   5.408037358964E+00
  3.321500000000E+02   2.520970537848E+00   5.155569645249E+00
  3.331500000000E+02   2.259167041967E+00   4.902929204387E+00
  3.341500000000E+02   1.997205112893E+00   4.650116724271E+00
  3.351500000000E+02   1.735085210669E+00   4.397132881808E+00
  3.361500000000E+02   1.472807787747E+00   4.143978343171E+00
  3.371500000000E+02   1.210373289210E+00   3.890653764034E+00
  3.381500000000E+02   9.477821529859E-01   3.637159789815E+00
  3.391500000000E+02   6.850348100580E-01   3.383497055905E+00
  3.401500000000E+02   4.221316846637E-01   3.129666187889E+00
  3.411500000000E+02   1.590731944911E-01   2.875667801770E+00
  3.421500000000E+02  -1.041402491318E-01   2.621502504179E+00
  3.431500000000E+02  -3.675082410534E-01   2.367170892586E+00
  3.441500000000E+02  -6.310303821202E-01   2.112673555502E+00
  3.451500000000E+02  -8.947062790063E-01   1.858011072679E+00
  3.461500000000E+02  -1.158535544046E+00   1.603184015302E+00
  3.471500000000E+02  -1.422517795072E+00   1.348192946182E+00
  3.481500000000E+02  -1.686652655260E+00   1.093038419935E+00
  3.491500000000E+02  -1.950939752978E+00   8.377209831658E-01
  3.501500000000E+02  -2.215378721640E+00   5.822411746423E-01
  3.511500000000E+02  -2.479969199564E+00   3.265995254685E-01
  3.521500000000E+02  -2.744710829833E+00   7.079655925300E-02
  3.531500000000E+02  -3.009603260177E+00  -1.851672077404E-01
  3.541500000000E+02  -3.274646142817E+00  -4.412912664063E-01
  3.551500000000E+02  -3.539839134367E+00  -6.975751146689E-01
  3.561500000000E+02  -3.805181895704E+00  -9.540182573175E-01
  3.571500000000E+02  -4.070674091854E+00  -1.210620205860E+00
  3.581500000000E+02  -4.336315391878E+00  -1.467380478379E+00
  3.591500000000E+02  -4.602105468764E+00  -1.724298599389E+00
  3.601500000000E+02  -4.868043999325E+00  -1.981374099702E+00
  3.611500000000E+02  -5.134130664096E+00  -2.238606516290E+00
  3.621500000000E+02  -5.400365147233E+00  -2.495995392154E+00
  3.631500000000E+02  -5.666747136489E+00  -2.753540276260E+00
  3.641500000000E+02  -5.933276322857E+00  -3.011240723159E+00
  3.651500000000E+02  -6.199952400876E+00  -3.269096293251E+00
  3.661500000000E+02  -6.466775068282E+00  -3.527106552406E+00
  3.671500000000E+02  -6.733744025991E+00  -3.785271071913E+00
  3.681500000000E+02  -7.000858978018E+00  -4.043589428367E+00
  3.691500000000E+02  -7.268119631399E+00  -4.302061203556E+00
  3.701500000000E+02  -7.535525696119E+00  -4.560685984358E+00
  3.711500000000E+02  -7.803076885034E+00  -4.819463362631E+00
  3.721500000000E+02  -8.070772913805E+00  -5.078392935111E+00
  3.731500000000E+02  -8.338613500827E+00  -5.337474303313E+00
  3.741500000000E+02  -8.606598367166E+00  -5.596707073431E+00
  3.751500000000E+02  -8.874727236491E+00  -5.856090856243E+00
  3.761500000000E+02  -9.142999835016E+00  -6.115625267019E+00
  3.771500000000E+02  -9.411415891440E+00  -6.375309925426E+00
  3.781500000000E+02  -9.679975136886E+00  -6.635144455444E+00
  3.791500000000E+02  -9.948677304845E+00  -6.895128485273E+00
  3.801500000000E+02  -1.021752213113E+01  -7.155261647255E+00
  3.811500000000E+02  -1.048650935380E+01  -7.415543577785E+00
  3.821500000000E+02  -1.075563871315E+01  -7.675973917232E+00
  3.831500000000E+02  -1.102490995162E+01  -7.936552309863E+00
  3.841500000000E+02  -1.129432281377E+01  -8.197278403762E+00
  3.851500000000E+02  -1.156387704623E+01  -8.458151850756E+00
  3.861500000000E+02  -1.183357239763E+01  -8.719172306342E+00
  3.871500000000E+02  -1.210340861862E+01  -8.980339429614E+00
  3.881500000000E+02  -1.237338546176E+01  -9.241652883194E+00
  3.891500000000E+02  -1.264350268151E+01  -9.503112333164E+00
  3.901500000000E+02  -1.291376003420E+01  -9.764717448998E+00
  3.911500000000E+02  -1.318415727794E+01  -1.002646790350E+01
  3.921500000000E+02  -1.345469417267E+01  -1.028836337272E+01
  3.931500000000E+02  -1.372537048004E+01  -1.055040353594E+01
  3.941500000000E+02  -1.399618596342E+01  -1.081258807555E+01
  3.951500000000E+02  -1.426714038786E+01  -1.107491667705E+01
  3.961500000000E+02  -1.453823352004E+01  -1.133738902894E+01
  3.971500000000E+02  -1.480946512826E+01  -1.160000482270E+01
  3.981500000000E+02  -1.508083498240E+01  -1.186276375270E+01
  3.991500000000E+02  -1.535234285395E+01  -1.212566551628E+01
